Fecha de inicio,Fecha de finalización,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Referencia a datos externos,Latitud de la ubicación,Longitud de la ubicación,Canal de la distribución,Idioma del usuario,1. Nivel socioeconómico al que usted pertenece,2. Situación laboral actual - Selected Choice,2. Situación laboral actual - Otro - Texto,3. Ocupación para la que está capacitada,4. Ubicación geográfica - Selected Choice,4. Ubicación geográfica - Otra ciudad - Texto,5. ¿Qué porcentaje máximo de los ingresos mensuales familiares puede pagar a sus trabajadoras del  hogar?,6. Nivel de escolaridad,7. Identidad sexual con la que usted se reconoce​,8. Edad,"9. ¿Platica con sus vecinos, familiares o amigos sobre las condiciones laborales de sus trabajadoras del hogar (salarios, horarios, tareas, desempeño, etc.)?",10. ¿En qué tipo de información se apoya para establecer el salario de las empleadas? (puede elegir una o más opciones) - Selected Choice,10. ¿En qué tipo de información se apoya para establecer el salario de las empleadas? (puede elegir una o más opciones) - Otra - Texto,11. ¿Quién define el salario y la contratación de las trabajadoras del hogar?,12. El salario que usted ofrece se encuentra:,13. ¿Cómo considera al salario que ofrece? (puede elegir una o más opciones),14. ¿Qué criterios considera más importantes para establecer que su empleada tiene un buen desempeño laboral? (puede elegir una o más opciones),15. Motivos por los que alguna vez ha tenido que despedir a  alguna empleada (puede elegir una o más opciones),16. ¿En qué condiciones considera pertinente ajustar los salarios?​ (puede elegir una o más opciones),17. ¿Qué tipo de decisiones toma la empleada al momento de establecer la relación laboral? (puede elegir una o más opciones),18. ¿Qué tan seguido realiza ajustes a los salarios? (puede elegir una o más opciones),19. ¿Qué suele hacer para conseguir a sus trabajadoras del hogar? (puede elegir una o más opciones),20. ¿Qué criterios son los más importantes al momento de contratar a una empleada? (puede elegir una o más opciones),21. ¿A qué tipo de recomendaciones le da más importancia? (puede elegir una o más opciones),22. ¿Qué tipo de empleo le ofrece a sus trabajadoras del hogar?,23. ¿Cuántas trabajadoras del hogar suele tener en casa al mismo tiempo? ​,24. ¿Ofrece algún tipo de prestación laboral? (puede elegir una o más opciones),25. ¿Considera usted que las prestaciones del IMSS (servicios médicos y pensión laboral) son convenientes para sus trabajadoras del hogar? (puede elegir una o más opciones),26. ¿Bajo qué condiciones estaría dispuesta a registrar a su empleada en el IMSS? (puede elegir una o más opciones)
27/04/2023 12:31,27/04/2023 15:06,IP Address,177.249.171.114,100,9289,True,27/04/2023 15:06,R_urVf7EkBiCgtyj7,,,,,20.6381,-103.348,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,Profesionista o técnico especializado,Ciudad de Guadalajara o área conurbada,,Entre el 1 y el 3 %,Posgrado,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,Es confiable,Por desconfianza,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,"Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Una sola,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales","No, porque no brindan un buen servicio",Si lleva trabajando varios años con usted
27/04/2023 12:51,27/04/2023 12:57,IP Address,189.164.242.234,100,388,True,27/04/2023 12:57,R_2mdq9aobF4aWUmZ,,,,,19.0436,-98.1981,anonymous,ES,Clase media-alta,Quehaceres del hogar,,Profesionista o técnico especializado,Ciudad de Puebla o área conurbada,,Entre el 1 y el 3 %,Licenciatura,Mujer,Entre 51 y 60,"Si, pero solo cuando se trata de familiares o amigos",Ingresos de los miembros del hogar,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Realiza en tiempo y forma las tareas asignadas,Es respetuosa","Por una caída en los ingresos del hogar,Por incompetencia",Cuando considero que los salarios se han estancado en relación con la inflación  observada,Negocia con usted el salario a recibir,"Al inicio de cada año,De forma irregular","Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Personalidad y apariencia","Recomendaciones de mis amigos y familiares,Recomendaciones verbales de familiares de la empleada,Recomendaciones de vecinos​",No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Transporte,Aguinaldo,Atención médica en caso de accidentes","No, porque no brindan un buen servicio","Si lleva trabajando varios años con usted,Si me obligan por ley,Si la empleada fuera de tiempo completo"
27/04/2023 14:54,27/04/2023 14:59,IP Address,189.163.134.163,100,302,True,27/04/2023 14:59,R_2cpgv2bMmg5wYLK,,,,,20.7246,-103.4264,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Ciudad de Guadalajara o área conurbada,,Entre el 3.1 y el 5%,Posgrado,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es respetuosa,Es discreta",Por desconfianza,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,De planta (pernocta en el hogar) (mas de 48 horas),Dos,"Una o más comidas al día,Alojamiento,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales","No, porque no brindan un buen servicio",Si los trámites son sencillos
27/04/2023 17:16,27/04/2023 17:21,IP Address,140.148.48.155,100,256,True,27/04/2023 17:21,R_3PjG4iFM6XWBscd,,,,,19.0542,-98.3007,anonymous,ES,Clase media-alta,Estudiante,,Profesionista o técnico especializado,Ciudad de Puebla o área conurbada,,Entre el 3.1 y el 5%,Licenciatura,Mujer,Entre 18 y 30 años,"Si, pero solo cuando se trata de familiares o amigos","Salario mínimo,Inflación observada en los últimos meses",,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,"Un pago digno que le permite a la empleada vivir con decoro,Relacionado a sus cualificaciones y desempeño laboral","Es confiable,Es dedicada,Es respetuosa","Por desconfianza,Por incompetencia","Cuando los salarios que pagan los vecinos se incrementan o se reducen,Cuando me percato que existen una gran disponibilidad de trabajadoras",Negocia con usted el salario a recibir,Cada cierto número de meses,Le pregunto a trabajadores conocido,"Su edad,Recomendaciones de conocidos,Tareas que puede realizar,Personalidad y apariencia,Experiencia laboral","Recomendaciones de mis amigos y familiares,Recomendaciones de vecinos​","Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Una sola,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo","No, porque incentiva demandas laborales injustificadas",Si no tuviera que pagar la cuota patronal correspondiente
27/04/2023 17:23,27/04/2023 17:27,IP Address,140.148.48.155,100,231,True,27/04/2023 17:27,R_3kpiYOmvqueFoIl,,,,,19.0542,-98.3007,anonymous,ES,Clase media-alta,Estudiante,,Profesionista o técnico especializado,Ciudad de Puebla o área conurbada,,Entre el 3.1 y el 5%,Licenciatura,Mujer,Entre 18 y 30 años,"Si, pero solo cuando se trata de vecinos",Salarios que pagan los vecinos,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Es dedicada,Es respetuosa,Es discreta,Realiza tareas diversas (cocina, plancha, etc.)",Por desconfianza,Cuando me percato que existen una gran disponibilidad de trabajadoras,Negocia con usted el salario a recibir,Cada cierto número de meses,Le pregunto a trabajadores conocido,"Su edad,Recomendaciones de conocidos,Tareas que puede realizar,Experiencia laboral",Recomendaciones de mis amigos y familiares,De planta (pernocta en el hogar) (mas de 48 horas),Una sola,"Una o más comidas al día,Alojamiento,Aguinaldo,Vacaciones con goce de sueldo","Si, porque cobija a mis empleadas","Si los trámites son sencillos,Si lleva trabajando varios años con usted,Si me obligan por ley"
27/04/2023 19:58,27/04/2023 20:06,IP Address,200.68.166.57,100,449,True,27/04/2023 20:06,R_BYCGZlPmPb94yK5,,,,,20.6381,-103.348,anonymous,ES,Clase media-alta,Administra un negocio con empleados,,"Funcionario, director o jefe",Ciudad de Guadalajara o área conurbada,,Entre el 1 y el 3 %,Posgrado,Mujer,Entre 31 y 40 años,Tanto con familiares como  con vecinos,Salarios que pagan los vecinos,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es respetuosa",Por incompetencia,Cuando los salarios que pagan los vecinos se incrementan o se reducen,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,Me apoyo en una agencia de empleo,Tareas que puede realizar,Recomendaciones de mis amigos y familiares,De planta (pernocta en el hogar) (mas de 48 horas),Dos,"Una o más comidas al día,Alojamiento,Transporte,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes","Si, porque cobija a mis empleadas","Si los trámites son sencillos,Si lleva trabajando varios años con usted"
29/04/2023 05:48,29/04/2023 05:57,IP Address,187.212.47.139,100,539,True,29/04/2023 05:57,R_2EuHCvkypqUL02m,,,,,19.0436,-98.1981,anonymous,ES,Clase media-alta,Administra un negocio con empleados,,"Funcionario, director o jefe",Otra ciudad,Tehuacan,Entre el 7.1 y el 9%,Posgrado,Mujer,Entre 51 y 60,Tanto con familiares como  con vecinos,Salarios que pagan los vecinos,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Realiza tareas diversas (cocina, plancha, etc.)",Por desconfianza,Cuando me entero que hay una modificación en los salarios mínimos,"Ella sugiere su salario,Ella establece los días, horas y el horario",De forma irregular,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Tareas que puede realizar,Experiencia laboral",Recomendaciones de mis amigos y familiares,"Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Dos,"Una o más comidas al día,Aguinaldo,Atención médica en caso de accidentes,Préstamos personales","No, porque no brindan un buen servicio,No, porque no me alcanza para pagarlo","Si los trámites son sencillos,Si no tuviera que pagar la cuota patronal correspondiente,Si no tuviera que pagar liquidaciones laborales"
30/04/2023 22:39,30/04/2023 22:44,IP Address,189.229.250.84,100,288,True,30/04/2023 22:44,R_3Hoht20GYcQt8au,,,,,19.4886,-99.0937,anonymous,ES,Clase media-baja,Estudiante,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 5.1 y el 7%,Posgrado,Hombre,Entre 18 y 30 años,Tanto con familiares como  con vecinos,Salarios que pagan los vecinos,,Ambos,No lo sabe,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es respetuosa",Por desconfianza,Cuando no logra encontrar a la empleada de su conveniencia,"Acepta o rechaza la propuesta de trabajo que usted le hace,Ella establece los días, horas y el horario",Cuando contrata a una nueva empleada,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Experiencia laboral","Recomendaciones de mis amigos y familiares,Cartas de recomendación de desconocidos",No más de dos días a la semana (menos de 15 horas),Una sola,Ninguna,"Si, porque cobija a mis empleadas","Si los trámites son sencillos,Si me obligan por ley,Si no tuviera que pagar la cuota patronal correspondiente,Si la empleada fuera de tiempo completo"
30/04/2023 22:46,01/05/2023 07:51,IP Address,189.188.88.101,100,32692,True,01/05/2023 07:51,R_1EZOb4jjuSEVhLC,,,,,19.4593,-99.1036,anonymous,ES,Clase alta,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 1 y el 3 %,Posgrado,Hombre,Entre 18 y 30 años,"Si, pero solo cuando se trata de familiares o amigos",Otra,Lo que la persona cobre,Ambos,No lo sabe,Relacionado a sus cualificaciones y desempeño laboral,"Es confiable,Es dedicada,Es discreta","Por una caída en los ingresos del hogar,Por desconfianza",Cuando considero que los salarios se han estancado en relación con la inflación  observada,Ella sugiere su salario,De forma irregular,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Transporte","Si, porque cobija a mis empleadas","Si los trámites son sencillos,Si la empleada fuera de tiempo completo"
01/05/2023 18:55,01/05/2023 19:05,IP Address,201.103.67.133,100,606,True,01/05/2023 19:05,R_3j34pXLHvzfcKOJ,,,,,19.4326,-99.1332,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 1 y el 3 %,Posgrado,Hombre,Más de 61 años,Tanto con familiares como  con vecinos,Salarios que pagan los familiares o amigos,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Vinculado  a su antigüedad,Es confiable,Nunca ha ocurrido,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Negocia con usted el salario a recibir,De forma irregular,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo,Préstamos personales","Si, porque cobija a mis empleadas",Si lleva trabajando varios años con usted
01/05/2023 18:56,01/05/2023 19:04,IP Address,201.141.125.209,100,484,True,01/05/2023 19:04,R_1KflGav2tGifOgO,,,,,19.4326,-99.1332,anonymous,ES,Clase media-baja,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 5.1 y el 7%,Licenciatura,Mujer,Entre 51 y 60,Tanto con familiares como  con vecinos,Salarios que pagan los familiares o amigos,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Es confiable,Es dedicada,Es respetuosa",Nunca ha ocurrido,Cuando me entero que hay una modificación en los salarios mínimos,"Ella establece los días, horas y el horario",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Aguinaldo,Atención médica en caso de accidentes","Si, porque cobija a mis empleadas",Si los trámites son sencillos
01/05/2023 19:04,01/05/2023 19:07,IP Address,187.189.213.196,100,153,True,01/05/2023 19:07,R_yKrrkdlkyN2q0IF,,,,,19.3946,-99.1178,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 3.1 y el 5%,Licenciatura,Hombre,Entre 18 y 30 años,Nunca tocamos ese tema,Salarios que pagan los vecinos,,Usted,Por debajo del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,Es confiable,Nunca ha ocurrido,Cuando los salarios que pagan los vecinos se incrementan o se reducen,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Tareas que puede realizar",Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,Ninguna,"Si, porque cobija a mis empleadas",Si los trámites son sencillos
01/05/2023 19:28,01/05/2023 19:38,IP Address,187.187.195.182,100,578,True,01/05/2023 19:38,R_ZaDRckWymOdI1QR,,,,,17.8378,-93.3834,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Otra ciudad,,Entre el 1 y el 3 %,Posgrado,Mujer,Entre 31 y 40 años,Tanto con familiares como  con vecinos,Documentos de empleos y salarios,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,Es confiable,Nunca ha ocurrido,Cuando considero que los salarios se han estancado en relación con la inflación  observada,"Ella establece los días, horas y el horario",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,"Recomendaciones verbales de familiares de la empleada,Recomendaciones de vecinos​",Entre 3 y 4 días a la semana (15- 34 horas),Una sola,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales","Si, porque cobija a mis empleadas",Si los trámites son sencillos
01/05/2023 19:32,01/05/2023 19:39,IP Address,187.188.32.103,100,414,True,01/05/2023 19:39,R_2dto1FzV4dp5U2E,,,,,17.8378,-93.3834,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,Profesionista o técnico especializado,Otra ciudad,Villahermosa Tabasco ,Entre el 1 y el 3 %,Posgrado,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de familiares o amigos","Salario mínimo,Documentos de empleos y salarios",,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es dedicada,Es respetuosa","Por una caída en los ingresos del hogar,Por un pérdida de empleo entre los miembros del hogar",Cuando me entero que hay una modificación en los salarios mínimos,"Acepta o rechaza la propuesta de trabajo que usted le hace,Ella sugiere su salario,Negocia con usted el salario a recibir",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Tareas que puede realizar",Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Transporte,Aguinaldo","Si, porque cobija a mis empleadas","Si lleva trabajando varios años con usted,A cambio de reducir prestaciones que usted ya ofrece,Si la empleada fuera de tiempo completo"
01/05/2023 19:42,01/05/2023 19:46,IP Address,201.175.219.38,100,253,True,01/05/2023 19:47,R_10x9lRDjGV56WFn,,,,,20.975,-89.6128,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Otra ciudad,,Entre el 5.1 y el 7%,Posgrado,Mujer,Entre 31 y 40 años,"Si, pero solo cuando se trata de familiares o amigos",Otra,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Es dedicada,Es respetuosa,Realiza tareas diversas (cocina, plancha, etc.)",Por incompetencia,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Negocia con usted el salario a recibir,Al inicio de cada año,Le pregunto a trabajadores conocido,Experiencia laboral,"Recomendaciones de mis amigos y familiares,Recomendaciones verbales de familiares de la empleada","Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Una sola,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo,Préstamos personales","Si, porque cobija a mis empleadas",Sin condicionamiento alguno
01/05/2023 20:35,01/05/2023 21:11,IP Address,200.68.183.7,100,2206,True,01/05/2023 21:11,R_2BhyqjKlfyCcUX5,,,,,19.4326,-99.1332,anonymous,ES,Clase media-alta,Quehaceres del hogar,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 3.1 y el 5%,Licenciatura,Mujer,Entre 51 y 60,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Relacionado a sus cualificaciones y desempeño laboral,"Realiza en tiempo y forma las tareas asignadas,Realiza tareas diversas (cocina, plancha, etc.)",Por desconfianza,"Cuando los salarios que pagan los vecinos se incrementan o se reducen,Cuando considero que los salarios se han estancado en relación con la inflación  observada","Ella sugiere su salario,Negocia con usted el salario a recibir",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de desconocidos,Experiencia laboral","Recomendaciones de mis amigos y familiares,Cartas de recomendación de desconocidos",Entre 3 y 4 días a la semana (15- 34 horas),Una sola,"Una o más comidas al día,Alojamiento,Aguinaldo,Vacaciones con goce de sueldo","No, porque incentiva demandas laborales injustificadas","A cambio de reducir su salario,Si la empleada fuera de tiempo completo"
01/05/2023 20:59,01/05/2023 21:05,IP Address,189.219.66.125,100,396,True,01/05/2023 21:05,R_4MmZ8ZDWFkYcnsZ,,,,,25.6554,-100.3258,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,Profesionista o técnico especializado,Ciudad de Monterrey o área conurbada,,Entre el 5.1 y el 7%,Licenciatura,Mujer,Entre 51 y 60,Nunca tocamos ese tema,Salarios que pagan los familiares o amigos,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es respetuosa",Por desconfianza,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Personalidad y apariencia",Recomendaciones de mis amigos y familiares,De planta (pernocta en el hogar) (mas de 48 horas),Una sola,"Una o más comidas al día,Alojamiento,Transporte,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales,Apoyos educativos","Si, porque cobija a mis empleadas","Si los trámites son sencillos,Si lleva trabajando varios años con usted,Si me obligan por ley,Si no tuviera que pagar liquidaciones laborales"
01/05/2023 21:18,01/05/2023 21:25,IP Address,187.189.188.52,100,451,True,01/05/2023 21:25,R_1QmwEvcHFvlLP9G,,,,,25.6677,-100.2514,anonymous,ES,Clase media-baja,Empleado,,Profesionista o técnico especializado,Ciudad de Monterrey o área conurbada,,Entre el 9.1 y 11 %,Posgrado,Mujer,Entre 51 y 60,Nunca tocamos ese tema,Inflación observada en los últimos meses,,Usted,No lo sabe,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es dedicada,Es respetuosa,Realiza tareas diversas (cocina, plancha, etc.)","Por desconfianza,Por incompetencia,Por un pérdida de empleo entre los miembros del hogar",Cuando me entero que hay una modificación en los salarios mínimos,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,Me buscan y ofrecen sus servicios,"Tareas que puede realizar,Experiencia laboral","Recomendaciones de mis amigos y familiares,Cartas de recomendación de desconocidos",Entre 3 y 4 días a la semana (15- 34 horas),Una sola,"Una o más comidas al día,Transporte,Aguinaldo,Vacaciones con goce de sueldo,Préstamos personales","No, porque no me alcanza para pagarlo","Sin condicionamiento alguno,Si no tuviera que pagar la cuota patronal correspondiente,Ya la registré o ya está inscrita por el empleador de su cónyuge"
01/05/2023 21:30,01/05/2023 22:21,IP Address,187.176.63.108,100,3101,True,01/05/2023 22:21,R_3p56sqCIsvpYxO1,,,,,25.6546,-100.2967,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Ciudad de Monterrey o área conurbada,,Entre el 1 y el 3 %,Posgrado,Mujer,Entre 51 y 60,"Si, pero solo cuando se trata de familiares o amigos",Salario mínimo,,Ambos,No lo sabe,Relacionado a sus cualificaciones y desempeño laboral,Es confiable,Por desconfianza,Cuando los salarios que pagan los vecinos se incrementan o se reducen,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,Ninguna,"Si, porque cobija a mis empleadas",Si la empleada fuera de tiempo completo
01/05/2023 21:43,01/05/2023 21:53,IP Address,189.217.81.154,100,637,True,01/05/2023 21:53,R_3L5VW2GPZeeaEeM,,,,,19.4357,-99.144,anonymous,ES,Clase media-baja,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 1 y el 3 %,Licenciatura,Mujer,Entre 18 y 30 años,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Usted,No lo sabe,Justo en tanto que es lo que usted puede pagar,"Es confiable,Es respetuosa,Es discreta",Nunca ha ocurrido,Cuando los salarios que pagan los vecinos se incrementan o se reducen,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Aguinaldo,Vacaciones con goce de sueldo","Si, porque cobija a mis empleadas","Si no tuviera que pagar la cuota patronal correspondiente,Si no tuviera que pagar liquidaciones laborales"
01/05/2023 22:40,01/05/2023 22:46,IP Address,201.141.125.209,100,345,True,01/05/2023 22:46,R_1E6Verv2Dl8YF1G,,,,,19.4326,-99.1332,anonymous,ES,Clase media-baja,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 9.1 y 11 %,Licenciatura,Hombre,Entre 51 y 60,"Si, pero solo cuando se trata de familiares o amigos",Inflación observada en los últimos meses,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,Realiza en tiempo y forma las tareas asignadas,Nunca ha ocurrido,Cuando considero que los salarios se han estancado en relación con la inflación  observada,"Ella establece los días, horas y el horario",Cada cierto número de meses,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Transporte,Aguinaldo","No, porque no me alcanza para pagarlo",Si no tuviera que pagar la cuota patronal correspondiente
02/05/2023 11:10,02/05/2023 13:05,IP Address,187.194.155.186,100,6912,True,02/05/2023 13:05,R_2qxCqdhCv5zFoaW,,,,,19.0359,-98.2279,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,Profesionista o técnico especializado,Ciudad de Puebla o área conurbada,,Entre el 9.1 y 11 %,Licenciatura,Hombre,Entre 51 y 60,Nunca tocamos ese tema,Salarios que pagan los familiares o amigos,,Su pareja,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,Es confiable,Nunca ha ocurrido,Cuando me entero que hay una modificación en los salarios mínimos,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,"Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Dos,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo,Préstamos personales","Si, porque cobija a mis empleadas",A cambio de reducir prestaciones que usted ya ofrece
02/05/2023 11:13,02/05/2023 11:20,IP Address,177.225.1.102,100,415,True,02/05/2023 11:20,R_1E1cIfseYnsewic,,,,,19.1835,-96.1477,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,Trabajador artesanal,Otra ciudad,,Entre el 5.1 y el 7%,Preparatoria,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,"Vinculado  a su antigüedad,Justo en tanto que es lo que usted puede pagar","Es confiable,Realiza en tiempo y forma las tareas asignadas,Es respetuosa",Por desconfianza,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,Entre 3 y 4 días a la semana (15- 34 horas),Dos,"Una o más comidas al día,Aguinaldo","No, porque no me alcanza para pagarlo",Sin condicionamiento alguno
